Case,Question,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Correct Answer
"Eine 59-jährige Frau wird zum Rheumatologen überwiesen, da bei ihr seit einigen Monaten eine zunehmende Trockenheit des Mundes und der Augen besteht. Die Patientin stört vor allem die Augentrockenheit, die sie auf die Computerarbeit zurückführt. Zudem beklagt sie auch eine Belastungsdyspnoe, die sie bei stärkerer körperlicher Belastung wie z. B. Fahrradfahren empfindet, und gelegentlich auftretende Gelenkschmerzen. Bei der körperlichen Untersuchung sind keine Gelenkschwellungen nachweisbar, auch zeigen Herz und Lunge bei der klinischen Untersuchung einen altersgemäßen Befund.","Die Untersuchungen ergeben, dass kein Befall der Lunge vorliegt, ansonsten aber die Voraussetzungen für die Diagnose eines Sjögren-Syndroms mit lokalem Befall erfüllt sind.  Welche der folgenden Therapieoptionen ist jetzt am ehesten indiziert?",0) Kombinationstherapie mit Glukokortikoid und Protonenpumpenhemmer,1) Basistherapie mit Leflunomid,2) antientzündliche Therapie mit Anti-TNF-Antikörpern,3) antiproliferative Therapie mit Cyclophosphamid,4) symptomatische Therapie mit Augentropfen und evtl. künstlichem Speichel,4
"Tina ist das 1. Kind einer 24-jährigen Frau und eines 28 Jahre alten Mannes. Sie wird in der 32. Schwangerschaftswoche geboren. Die Geburt gestaltet sich komplikationslos; als Vorsichtsmaßnahme wird das Neugeborene zur Überwachung auf die neonatologische Intensivstation aufgenommen und unterstützend parenteral ernährt. Nach einigen Tagen entwickelt Tina Fieber, und ihr Allgemeinzustand verschlechtert sich gravierend. Bei Verdacht auf Neugeborenensepsis werden Blutkulturen zur mikrobiologischen Diagnostik versandt. Hier erfolgt der Nachweis von Klebsiella oxytoca in allen Blutproben. Inzwischen haben auch einige andere Neugeborene auf derselben Station Zeichen einer Sepsis entwickelt. Auch bei ihnen wird eine Blutstrominfektion mit Klebsiella oxytoca nachgewiesen. Die Behandlung aller Patienten mit einer empirischen Antibiotikatherapie und supportiven Maßnahmen wird umgehend eingeleitet. Dennoch kommt es bei einigen Kindern zu irreversiblen Schädigungen. Auf der Suche nach der Infektionsquelle nehmen Sie Nasen-Rachen-Abstriche bei allen betroffenen Kindern, deren Eltern sowie beim Stationspersonal ab. In keiner dieser Proben kann Klebsiella oxytoca nachgewiesen werden, der Nachweis von Klebsiella oxytoca erfolgte nur in den Blutproben (primäre Sepsis) der betroffenen Kinder.","Es wird vermutet, dass hier nosokomiale Infektionen vorliegen.  Welcher der folgenden Umstände veranlasst den zuständigen Arzt am ehesten, umgehend das Gesundheitsamt zu informieren?",0) die Schwere der Infektionen mit Nachweis von Klebsiella oxytoca im Blut,1) das Auftreten von 2 und mehr Infektionen im zeitlichen und örtlichen Zusammenhang,2) das Auftreten sogenannter Darmkeime im Blut,3) das Auftreten der Infektionen bei Frühgeborenen,4) das Auftreten irreversibler Schädigungen als Folge der Sepsis,1
"Tina ist das 1. Kind einer 24-jährigen Frau und eines 28 Jahre alten Mannes. Sie wird in der 32. Schwangerschaftswoche geboren. Die Geburt gestaltet sich komplikationslos; als Vorsichtsmaßnahme wird das Neugeborene zur Überwachung auf die neonatologische Intensivstation aufgenommen und unterstützend parenteral ernährt. Nach einigen Tagen entwickelt Tina Fieber, und ihr Allgemeinzustand verschlechtert sich gravierend. Bei Verdacht auf Neugeborenensepsis werden Blutkulturen zur mikrobiologischen Diagnostik versandt. Hier erfolgt der Nachweis von Klebsiella oxytoca in allen Blutproben. Inzwischen haben auch einige andere Neugeborene auf derselben Station Zeichen einer Sepsis entwickelt. Auch bei ihnen wird eine Blutstrominfektion mit Klebsiella oxytoca nachgewiesen. Die Behandlung aller Patienten mit einer empirischen Antibiotikatherapie und supportiven Maßnahmen wird umgehend eingeleitet. Dennoch kommt es bei einigen Kindern zu irreversiblen Schädigungen. Auf der Suche nach der Infektionsquelle nehmen Sie Nasen-Rachen-Abstriche bei allen betroffenen Kindern, deren Eltern sowie beim Stationspersonal ab. In keiner dieser Proben kann Klebsiella oxytoca nachgewiesen werden, der Nachweis von Klebsiella oxytoca erfolgte nur in den Blutproben (primäre Sepsis) der betroffenen Kinder.","Klebsiellen können aus Sicht der Krankenhaushygiene problematisch sein, da sie durch Biofilm-Bildung, z. B. in Kunststoffeimern, persistieren können.  Welche Eigenschaft von Klebsiellen ist am ehesten relevant für die Biofilm-Bildung?",0) Polysaccharidkapsel-Bildung,1) Katalase-Negativität,2) Toxin-Bildung,3) natürliche Antibiotikaresistenz,4) Temperaturoptimum 15-18 °C,0
In der klinisch-genetischen Ambulanz stellt sich ein Paar vor. Die gesunde Ratsuchende ist 25 Jahre alt und in der 12. Woche p. m. ihrer 1. Schwangerschaft. Der Ratsuchende ist 30 Jahre alt und ebenfalls gesund. Die Schwangerschaft ist spontan eingetreten. Die Frauenärztin hatte in der 10. Schwangerschaftswoche eine nichtinvasive pränatale Testung (NIPT) am mütterlichen Blut veranlasst. In dieser hatte sich Anhalt für eine Trisomie 18 ergeben.,Die Trisomie 18 ist die charakteristische Chromosomenaberration am ehesten welchen Syndroms?,0) Klinefelter-Syndrom,1) Noonan-Syndrom,2) Edwards-Syndrom,3) Turner-Syndrom,4) De-Grouchy-Syndrom,2
In der klinisch-genetischen Ambulanz stellt sich ein Paar vor. Die gesunde Ratsuchende ist 25 Jahre alt und in der 12. Woche p. m. ihrer 1. Schwangerschaft. Der Ratsuchende ist 30 Jahre alt und ebenfalls gesund. Die Schwangerschaft ist spontan eingetreten. Die Frauenärztin hatte in der 10. Schwangerschaftswoche eine nichtinvasive pränatale Testung (NIPT) am mütterlichen Blut veranlasst. In dieser hatte sich Anhalt für eine Trisomie 18 ergeben.,Zur weiteren Abklärung entscheiden sich die Ratsuchenden zunächst zu einer pränatalen Ultraschalluntersuchung. Diese zeigt einen Normalbefund. Daraufhin wird eine Chorionzottenbiopsie veranlasst. Das Ergebnis der Chromosomenanalyse aus Kurz- und Langzeitkultur ergibt einen regelrechten männlichen Chromosomensatz.  Wie wird der Befund der Chromosomenanalyse im vorliegenden Fall in einer Karyotypformel am ehesten beschrieben?,"0) 46,XY","1) 47,XYY","2) 45,X","3) 47,XY,+18","4) 23,Y",0
In der klinisch-genetischen Ambulanz stellt sich ein Paar vor. Die gesunde Ratsuchende ist 25 Jahre alt und in der 12. Woche p. m. ihrer 1. Schwangerschaft. Der Ratsuchende ist 30 Jahre alt und ebenfalls gesund. Die Schwangerschaft ist spontan eingetreten. Die Frauenärztin hatte in der 10. Schwangerschaftswoche eine nichtinvasive pränatale Testung (NIPT) am mütterlichen Blut veranlasst. In dieser hatte sich Anhalt für eine Trisomie 18 ergeben.,Die Ratsuchenden fragen nach der Ursache der Diskrepanz der Ergebnisse von NIPT auf der einen Seite und von Ultraschall und Chromosomenanalyse auf der anderen Seite.  Welche der folgenden Ursachen scheidet im vorliegenden Fall als Erklärung für die Diskrepanz am ehesten aus?,0) maternale Kontamination bei der Chromosomenanalyse,1) Plazentamosaik für einen Klon mit Trisomie 18,2) ehemalige Zwillingsschwangerschaft mit Absterben eines Fetus („vanishing twin“),3) Erkrankung der werdenden Mutter an einem Tumor mit somatischer Trisomie 18,4) Verwechslung der Proben im NIPT-Labor,0
"Eine 49-jährige Patientin stellt sich mit Schwellung, Schmerz und Steifheit von Hand- und Fingergelenken in einer Praxis für Rheumatologie vor. Die Beschwerden finden sich beidseits, und die Patientin berichtet zusätzlich von Morgensteifigkeit. Eine Laboruntersuchung zeigt unspezifische Entzündungszeichen, insbesondere eine erhöhte CRP-Serumkonzentration. Spezifische Laborwerte, wie Antikörper gegen citrullinierte Peptide (ACPA) und IgM-Rheumafaktoren, sind positiv. Auch die Bildgebung bestätigt die Diagnose einer rheumatoiden Arthritis. Sie entscheiden sich daher für den Start einer medikamentösen Therapie aus Analgetikum, Glukokortikoid und DMARD (Disease Modifying Antirheumatic Drug).",Welcher der folgenden Arzneistoffe sollte am ehesten bei der Patientin als Analgetikum eingesetzt werden?,0) Dronabinol,1) Diclofenac,2) Ketamin,3) Metamizol,4) Tramadol,1
"Eine 49-jährige Patientin stellt sich mit Schwellung, Schmerz und Steifheit von Hand- und Fingergelenken in einer Praxis für Rheumatologie vor. Die Beschwerden finden sich beidseits, und die Patientin berichtet zusätzlich von Morgensteifigkeit. Eine Laboruntersuchung zeigt unspezifische Entzündungszeichen, insbesondere eine erhöhte CRP-Serumkonzentration. Spezifische Laborwerte, wie Antikörper gegen citrullinierte Peptide (ACPA) und IgM-Rheumafaktoren, sind positiv. Auch die Bildgebung bestätigt die Diagnose einer rheumatoiden Arthritis. Sie entscheiden sich daher für den Start einer medikamentösen Therapie aus Analgetikum, Glukokortikoid und DMARD (Disease Modifying Antirheumatic Drug).","Sie entscheiden sich bei der Patientin für Prednisolon als Glukokortikoid. Da es sich um eine längerfristige Therapie handelt, machen Sie sich Gedanken zur Cushing-Schwelle und möglichen Nebenwirkungen.  Wo liegt diese Schwelle beim Erwachsenen für Prednisolon?  Bei einer Tagesdosis von ungefähr","0) 1,5 mg","1) 3,0 mg","2) 4,5 mg","3) 6,0 mg","4) 7,5 mg",4
"Eine 49-jährige Patientin stellt sich mit Schwellung, Schmerz und Steifheit von Hand- und Fingergelenken in einer Praxis für Rheumatologie vor. Die Beschwerden finden sich beidseits, und die Patientin berichtet zusätzlich von Morgensteifigkeit. Eine Laboruntersuchung zeigt unspezifische Entzündungszeichen, insbesondere eine erhöhte CRP-Serumkonzentration. Spezifische Laborwerte, wie Antikörper gegen citrullinierte Peptide (ACPA) und IgM-Rheumafaktoren, sind positiv. Auch die Bildgebung bestätigt die Diagnose einer rheumatoiden Arthritis. Sie entscheiden sich daher für den Start einer medikamentösen Therapie aus Analgetikum, Glukokortikoid und DMARD (Disease Modifying Antirheumatic Drug).",Welcher der folgenden Arzneistoffe sollte bei der Patientin als DMARD der 1. Wahl eingesetzt werden?,0) Azathioprin,1) Ciclosporin,2) Colchicin,3) Cyclophosphamid,4) Methotrexat,4
"Eine 49-jährige Patientin stellt sich mit Schwellung, Schmerz und Steifheit von Hand- und Fingergelenken in einer Praxis für Rheumatologie vor. Die Beschwerden finden sich beidseits, und die Patientin berichtet zusätzlich von Morgensteifigkeit. Eine Laboruntersuchung zeigt unspezifische Entzündungszeichen, insbesondere eine erhöhte CRP-Serumkonzentration. Spezifische Laborwerte, wie Antikörper gegen citrullinierte Peptide (ACPA) und IgM-Rheumafaktoren, sind positiv. Auch die Bildgebung bestätigt die Diagnose einer rheumatoiden Arthritis. Sie entscheiden sich daher für den Start einer medikamentösen Therapie aus Analgetikum, Glukokortikoid und DMARD (Disease Modifying Antirheumatic Drug).","Sollte die Patientin auf die initiale DMARD-Therapie nicht ausreichend ansprechen, können Biologika (bDMARD) zusätzlich zum Einsatz kommen.  Welche Gruppe stellt hierfür die 1. Wahl dar?",0) Integrin-α4-Inhibitoren,1) IL-1-Inhibitoren,2) TNF-Inhibitoren,3) IL-6-Inhibitoren,4) RAR-Agonisten,2
"Mitte März wird ein 71-jähriger Patient, Herr H., wegen Abgeschlagenheit, Fieber und Atemnot stationär aufgenommen. Er hat radiologisch Zeichen einer interstitiellen Pneumonie. Zur Abklärung einer Influenzavirusinfektion als Ursache der Pneumonie wird Probenmaterial genommen und ins Labor eingeschickt.",Welches der abgenommenen Probenmaterialien ist am ehesten für den spezifischen Nachweis einer Influenzavirusinfektion bei Herrn H. geeignet?,0) Blut im EDTA-Röhrchen,1) Blut im Heparin-Röhrchen,2) Blut im Serumröhrchen,3) tiefer Rachenabstrich,4) Urin,3
"Mitte März wird ein 71-jähriger Patient, Herr H., wegen Abgeschlagenheit, Fieber und Atemnot stationär aufgenommen. Er hat radiologisch Zeichen einer interstitiellen Pneumonie. Zur Abklärung einer Influenzavirusinfektion als Ursache der Pneumonie wird Probenmaterial genommen und ins Labor eingeschickt.","Im Labor wird das Probenmaterial des Patienten untersucht, um die Influenzavirusinfektion nachzuweisen.  Welche der folgenden Laboruntersuchungen ist am besten zur Diagnostik einer Influenza bei Herrn H. geeignet?",0) Anti-Influenzavirus-IgG-Test,1) Anti-Influenzavirus-IgM-Test,2) Immunhistochemie,3) Nukleinsäureamplifikationstest,4) Virusisolierung,3
"Mitte März wird ein 71-jähriger Patient, Herr H., wegen Abgeschlagenheit, Fieber und Atemnot stationär aufgenommen. Er hat radiologisch Zeichen einer interstitiellen Pneumonie. Zur Abklärung einer Influenzavirusinfektion als Ursache der Pneumonie wird Probenmaterial genommen und ins Labor eingeschickt.",Im Labor bestätigt sich der Verdacht auf eine Influenza-B-Virus-Infektion. Bei Herrn H. wird deshalb eine medikamentöse Therapie erwogen.  Welches der folgenden Medikamente ist am ehesten zur Therapie dieser Infektion geeignet?,0) Amantadin,1) Amoxicillin,2) Ganciclovir,3) Interferon-β,4) Oseltamivir,4
Eine 35-jährige Frau kommt mit sehr starken Flankenschmerzen in die Notaufnahme. Die Schmerzen bestehen seit 6 Stunden und strahlen in die linke Leiste aus. Es besteht kein Fieber und keine Mikrohämaturie.,Welche der folgenden schmerztherapeutischen Maßnahmen wäre bei der Patientin primär am ehesten indiziert?,0) Gabe von COX-Inhibitoren,1) Gabe von μ-Opioidrezeptor-Agonisten,2) Gabe von Pregabalin,3) Gabe von Ketamin,4) Einleitung einer Periduralanästhesie,0
"Als Assistenzärztin/Assistenzarzt in Weiterbildung betreuen Sie Frau C. in einer Rehabilitationsklinik während einer stationären orthopädischen Rehabilitation. Frau C. beantragte die medizinische Rehabilitation auf Anregung ihrer Hausärztin. Frau C. ist 49 Jahre alt, verheiratet und hat 2 Kinder. Sie hat einen Realschulabschluss gemacht und anschließend eine Ausbildung zur Textiltechnikerin absolviert. Nach einer Umschulung zur Altenpflegehelferin arbeitet sie seit 24 Jahren in Vollzeit bei einem ambulanten Pflegedienst. Sie musste sich in den vergangenen Monaten wiederholt wegen Rückenschmerzen arbeitsunfähig melden. Sie ist unsicher, ob sie die körperlichen Belastungen langfristig noch werde bewältigen können. Sie berichtet, dass sie die Körperhaltung beim Waschen bettlägeriger Patienten als sehr unangenehm empfinde. Sie habe innerhalb des vergangenen halben Jahres 6 Kilo zugenommen. Früher habe sie 1-mal wöchentlich Walking betrieben. Dies habe sie vor einiger Zeit eingestellt. Sie sei niedergeschlagen, traurig und antriebslos. Aktuell ist sie seit 1 Monat wegen Schmerzen im Lendenwirbelbereich mit Ausstrahlung in den linken Oberschenkel (M54.4) krankgeschrieben. Insgesamt hat sich die Arbeitsunfähigkeitsdauer im letzten Jahr bereits auf mehr als 3 Monate addiert. Die vor der Rehabilitation veranlasste Bildgebung mittels MRT zeigte eine Verminderung von Intervertebralräumen bei gering ausgeprägten Spondylophyten an den Wirbelkörpern.",Bei welchem der genannten Kostenträger hat Frau C. ihre medizinische Rehabilitation am ehesten beantragt?,0) Eingliederungshilfe,1) Jobcenter,2) gesetzliche Krankenversicherung,3) gesetzliche Unfallversicherung,4) gesetzliche Rentenversicherung,4
"Als Assistenzärztin/Assistenzarzt in Weiterbildung betreuen Sie Frau C. in einer Rehabilitationsklinik während einer stationären orthopädischen Rehabilitation. Frau C. beantragte die medizinische Rehabilitation auf Anregung ihrer Hausärztin. Frau C. ist 49 Jahre alt, verheiratet und hat 2 Kinder. Sie hat einen Realschulabschluss gemacht und anschließend eine Ausbildung zur Textiltechnikerin absolviert. Nach einer Umschulung zur Altenpflegehelferin arbeitet sie seit 24 Jahren in Vollzeit bei einem ambulanten Pflegedienst. Sie musste sich in den vergangenen Monaten wiederholt wegen Rückenschmerzen arbeitsunfähig melden. Sie ist unsicher, ob sie die körperlichen Belastungen langfristig noch werde bewältigen können. Sie berichtet, dass sie die Körperhaltung beim Waschen bettlägeriger Patienten als sehr unangenehm empfinde. Sie habe innerhalb des vergangenen halben Jahres 6 Kilo zugenommen. Früher habe sie 1-mal wöchentlich Walking betrieben. Dies habe sie vor einiger Zeit eingestellt. Sie sei niedergeschlagen, traurig und antriebslos. Aktuell ist sie seit 1 Monat wegen Schmerzen im Lendenwirbelbereich mit Ausstrahlung in den linken Oberschenkel (M54.4) krankgeschrieben. Insgesamt hat sich die Arbeitsunfähigkeitsdauer im letzten Jahr bereits auf mehr als 3 Monate addiert. Die vor der Rehabilitation veranlasste Bildgebung mittels MRT zeigte eine Verminderung von Intervertebralräumen bei gering ausgeprägten Spondylophyten an den Wirbelkörpern.","Die Bestimmung der Rehabilitationsziele am Beginn der medizinischen Rehabilitation erfolgt entlang der „International Classification of Functioning, Disability and Health“ (ICF).  Welchem der genannten Bereiche der ICF sind die primären Rehabilitationsziele am ehesten zuzuordnen?",0) Körperfunktionen,1) Körperstrukturen,2) Aktivitäten und Teilhabe,3) Umweltfaktoren,4) personenbezogene Faktoren,2
